          Mkt-RF     SMB     HML      RF
20160425   -0.24   -0.58   -0.18   0.000
20160426    0.29    0.65    0.78   0.000
20160427    0.21    0.09    0.68   0.000
20160428   -0.96   -0.15    0.05   0.000
20160429   -0.50   -0.14    0.38   0.000
20160502    0.78   -0.01   -0.36   0.001
20160503   -1.05   -0.66   -0.50   0.001
20160504   -0.66   -0.15    0.06   0.001
20160505   -0.08   -0.50    0.09   0.001
20160506    0.38    0.05    0.24   0.001
20160509    0.05    0.36   -1.49   0.001
20160510    1.26   -0.40    0.47   0.001
20160511   -0.89   -0.36    0.78   0.001
20160512   -0.11   -0.60    0.14   0.001
20160513   -0.82    0.38   -0.66   0.001
20160516    0.99    0.28   -0.24   0.001
20160517   -0.95   -0.78    0.61   0.001
20160518    0.10    0.10    0.83   0.001
20160519   -0.33   -0.32   -0.30   0.001
20160520    0.75    0.90   -0.30   0.001
20160523   -0.18    0.26   -0.32   0.001
20160524    1.43    0.68   -0.34   0.001
20160525    0.72   -0.21    0.57   0.001
20160526   -0.04   -0.09   -0.51   0.001
20160527    0.49    0.33   -0.22   0.001
20160531   -0.01    0.50   -0.36   0.001
20160601    0.20    0.65   -0.25   0.001
20160602    0.35    0.31   -0.59   0.001
20160603   -0.38   -0.14   -0.10   0.001
20160606    0.60    0.68    0.32   0.001
20160607    0.12    0.19    0.11   0.001
20160608    0.37    0.45   -0.11   0.001
20160609   -0.27   -0.40   -0.21   0.001
20160610   -1.05   -0.34   -0.17   0.001
20160613   -0.84   -0.36    0.10   0.001
20160614   -0.19    0.27   -0.71   0.001
20160615   -0.11    0.25   -0.06   0.001
20160616    0.24   -0.34   -0.40   0.001
20160617   -0.30   -0.10    0.94   0.001
20160620    0.71    0.61   -0.01   0.001
20160621    0.21   -0.62    0.50   0.001
20160622   -0.20   -0.31    0.08   0.001
20160623    1.45    0.50    0.43   0.001
20160624   -3.70    0.15   -1.13   0.001
20160627   -2.07   -0.95   -0.67   0.001
20160628    1.76   -0.39    0.14   0.001
20160629    1.80    0.27   -0.07   0.001
20160630    1.42    0.35    0.45   0.001
20160701    0.24    0.54   -0.41   0.001
20160705   -0.85   -0.63   -1.36   0.001
20160706    0.62    0.17   -0.13   0.001
20160707    0.02    0.35   -0.20   0.001
20160708    1.60    0.89    0.35   0.001
20160711    0.43    0.60    0.25   0.001
20160712    0.75    0.63    1.00   0.001
20160713   -0.05   -0.53    0.51   0.001
20160714    0.51   -0.46    0.45   0.001
20160715   -0.05    0.30    0.01   0.001
20160718    0.25   -0.02   -0.12   0.001
20160719   -0.22   -0.63    0.05   0.001
20160720    0.48    0.45   -0.87   0.001
20160721   -0.38   -0.05   -0.01   0.001
20160722    0.48    0.23   -0.08   0.001
20160725   -0.27   -0.03   -0.24   0.001
20160726    0.13    0.58    0.54   0.001
